CH,Freq,Lockout,Priority,Delay,Comment
1,0,Y,Y,N,
2,0,Y,N,N,
3,0,Y,N,N,
4,0,Y,N,N,
5,0,Y,N,N,
6,0,Y,N,N,
7,0,Y,N,N,
8,0,Y,N,N,
9,0,Y,N,N,
10,0,Y,N,N,
11,0,Y,N,N,
12,0,Y,N,N,
13,0,Y,N,N,
14,0,Y,N,N,
15,0,Y,N,N,
16,0,Y,N,N,
17,0,Y,N,N,
18,0,Y,N,N,
19,0,Y,N,N,
20,0,Y,N,N,
21,0,Y,Y,N,
22,0,Y,N,N,
23,0,Y,N,N,
24,0,Y,N,N,
25,0,Y,N,N,
26,0,Y,N,N,
27,0,Y,N,N,
28,0,Y,N,N,
29,0,Y,N,N,
30,0,Y,N,N,
31,0,Y,N,N,
32,0,Y,N,N,
33,0,Y,N,N,
34,0,Y,N,N,
35,0,Y,N,N,
36,0,Y,N,N,
37,0,Y,N,N,
38,0,Y,N,N,
39,0,Y,N,N,
40,0,Y,N,N,
41,0,Y,Y,N,
42,0,Y,N,N,
43,0,Y,N,N,
44,0,Y,N,N,
45,0,Y,N,N,
46,0,Y,N,N,
47,0,Y,N,N,
48,0,Y,N,N,
49,0,Y,N,N,
50,0,Y,N,N,
51,0,Y,N,N,
52,0,Y,N,N,
53,0,Y,N,N,
54,0,Y,N,N,
55,0,Y,N,N,
56,0,Y,N,N,
57,0,Y,N,N,
58,0,Y,N,N,
59,0,Y,N,N,
60,0,Y,N,N,
61,0,Y,Y,N,
62,0,Y,N,N,
63,0,Y,N,N,
64,0,Y,N,N,
65,0,Y,N,N,
66,0,Y,N,N,
67,0,Y,N,N,
68,0,Y,N,N,
69,0,Y,N,N,
70,0,Y,N,N,
71,0,Y,N,N,
72,0,Y,N,N,
73,0,Y,N,N,
74,0,Y,N,N,
75,0,Y,N,N,
76,0,Y,N,N,
77,0,Y,N,N,
78,0,Y,N,N,
79,0,Y,N,N,
80,0,Y,N,N,
81,0,Y,Y,N,
82,0,Y,N,N,
83,0,Y,N,N,
84,0,Y,N,N,
85,0,Y,N,N,
86,0,Y,N,N,
87,0,Y,N,N,
88,0,Y,N,N,
89,0,Y,N,N,
90,0,Y,N,N,
91,0,Y,N,N,
92,0,Y,N,N,
93,0,Y,N,N,
94,0,Y,N,N,
95,0,Y,N,N,
96,0,Y,N,N,
97,0,Y,N,N,
98,0,Y,N,N,
99,0,Y,N,N,
100,0,Y,N,N,
101,0,Y,Y,N,
102,0,Y,N,N,
103,0,Y,N,N,
104,0,Y,N,N,
105,0,Y,N,N,
106,0,Y,N,N,
107,0,Y,N,N,
108,0,Y,N,N,
109,0,Y,N,N,
110,0,Y,N,N,
111,0,Y,N,N,
112,0,Y,N,N,
113,0,Y,N,N,
114,0,Y,N,N,
115,0,Y,N,N,
116,0,Y,N,N,
117,0,Y,N,N,
118,0,Y,N,N,
119,0,Y,N,N,
120,0,Y,N,N,
121,0,Y,Y,N,
122,0,Y,N,N,
123,0,Y,N,N,
124,0,Y,N,N,
125,0,Y,N,N,
126,0,Y,N,N,
127,0,Y,N,N,
128,0,Y,N,N,
129,0,Y,N,N,
130,0,Y,N,N,
131,0,Y,N,N,
132,0,Y,N,N,
133,0,Y,N,N,
134,0,Y,N,N,
135,0,Y,N,N,
136,0,Y,N,N,
137,0,Y,N,N,
138,0,Y,N,N,
139,0,Y,N,N,
140,0,Y,N,N,
141,0,Y,Y,N,
142,0,Y,N,N,
143,0,Y,N,N,
144,0,Y,N,N,
145,0,Y,N,N,
146,0,Y,N,N,
147,0,Y,N,N,
148,0,Y,N,N,
149,0,Y,N,N,
150,0,Y,N,N,
151,0,Y,N,N,
152,0,Y,N,N,
153,0,Y,N,N,
154,0,Y,N,N,
155,0,Y,N,N,
156,0,Y,N,N,
157,0,Y,N,N,
158,0,Y,N,N,
159,0,Y,N,N,
160,0,Y,N,N,
161,0,Y,Y,N,
162,0,Y,N,N,
163,0,Y,N,N,
164,0,Y,N,N,
165,0,Y,N,N,
166,0,Y,N,N,
167,0,Y,N,N,
168,0,Y,N,N,
169,0,Y,N,N,
170,0,Y,N,N,
171,0,Y,N,N,
172,0,Y,N,N,
173,0,Y,N,N,
174,0,Y,N,N,
175,0,Y,N,N,
176,0,Y,N,N,
177,0,Y,N,N,
178,0,Y,N,N,
179,0,Y,N,N,
180,0,Y,N,N,
181,0,Y,Y,N,
182,0,Y,N,N,
183,0,Y,N,N,
184,0,Y,N,N,
185,0,Y,N,N,
186,0,Y,N,N,
187,0,Y,N,N,
188,0,Y,N,N,
189,0,Y,N,N,
190,0,Y,N,N,
191,0,Y,N,N,
192,0,Y,N,N,
193,0,Y,N,N,
194,0,Y,N,N,
195,0,Y,N,N,
196,0,Y,N,N,
197,0,Y,N,N,
198,0,Y,N,N,
199,0,Y,N,N,
200,0,Y,N,N,
