CH,Freq,Lockout,Priority,Delay,Comment
1,457.1000,N,N,Y,1 PAUL MILLER
2,455.6250,N,N,Y,2 UNITED AUTOS
3,462.7125,N,N,Y,3 CORVETTE /P.M.
4,465.0875,N,N,Y,4 CORVETTE /P.M.
5,468.5500,N,N,Y,05 PROTON
6,461.7875,N,N,Y,06 PENSKEPORSCHE
7,462.3875,N,N,Y,07 PENSKEPORSCHE
8,462.1500,N,N,Y,8 TOWER
9,466.0625,N,N,Y,9 PFAFF
10,461.2625,N,N,Y,10 Cadilac W.T.
11,468.8375,N,N,Y,11 TDS
12,467.5125,N,N,Y,12 VASSARSULLIVN
13,456.9125,N,N,Y,13 AWA
14,452.5875,N,N,Y,14 VASSARSULLVAN
15,0,Y,Y,N,
16,0,Y,N,N,
17,0,Y,N,N,
18,463.4625,N,N,Y,18 ERA
19,452.4625,N,N,Y,19 VAN DER STEUR
20,450.8500,N,N,Y,20 PROTON
21,453.6875,N,N,Y,21 AF CORSE
22,457.3375,N,N,Y,22 UNITED AUTOS
23,0,Y,N,N,
24,454.6625,N,N,Y,24 BMW RRL
25,460.4500,N,N,Y,25 BMW RRL
26,0,Y,Y,N,
27,460.4250,N,N,Y,27 HEARTOFRACING
28,0,Y,N,N,
29,0,Y,N,N,
30,0,Y,N,N,
31,461.8625,N,N,Y,31 WHELEN
32,460.6750,N,N,Y,32 KORTHOFF
33,0,Y,N,N,
34,463.7125,N,N,Y,34 CONQUEST
35,0,Y,N,N,
36,454.8750,N,N,Y,36 DXDT
37,0,Y,N,N,
38,0,Y,N,N,
39,0,Y,N,N,
40,460.7250,N,N,Y,40 CADILLAC W.T.
41,0,Y,Y,N,
42,0,Y,N,N,
43,461.3375,N,N,Y,43 INTER EUROPOL
44,464.5625,N,N,Y,44 MAGNUS
45,451.3250,N,N,Y,45 W.TAYLOR
46,0,Y,N,N,
47,453.9875,N,N,Y,47 CETILAR
48,452.0750,N,N,Y,48 PAUL MILLER
49,0,Y,N,N,
50,469.9500,N,N,Y,50 AF CORSE
51,0,Y,N,N,
52,467.1750,N,N,Y,52 PR1 MATHESON
53,0,Y,N,N,
54,0,Y,N,N,
55,0,Y,N,N,
56,0,Y,N,N,
57,461.9750,N,N,Y,57 WINWARD
58,0,Y,N,N,
59,0,Y,N,N,
60,461.7250,N,N,Y,60 MEYER SHANK
61,0,Y,Y,N,
62,0,Y,N,N,
63,467.0500,N,N,Y,63 SQUADRA CORSE
64,469.7500,N,N,Y,64 FORD MULTIMAT
65,469.6875,N,N,Y,65 FORD MULTIMAT
66,467.3125,N,N,Y,66 GRADIENT
67,0,Y,N,N,
68,0,Y,N,N,
69,462.8850,N,N,Y,69 GETSPEED
70,466.4500,N,N,Y,70 INCEPTION
71,0,Y,N,N,
72,0,Y,N,N,
73,451.1375,N,N,Y,73 PRATT MILLER
74,456.3875,N,N,Y,74 RILEY
75,463.6750,N,N,Y,75 75 EXPRESS
76,0,Y,N,N,
77,452.4500,N,N,Y,77 AO RACING
78,460.4875,N,N,Y,78 FORTE
79,0,Y,N,N,
80,458.7125,N,N,Y,80 LONE STAR
81,468.0875,N,N,Y,81 DRAGONSPEED
82,0,Y,Y,N,
83,468.2000,N,N,Y,83 IRON DAMES
84,0,Y,N,N,
85,461.9500,N,N,Y,85 JDC MILLER
86,0,Y,N,N,
87,0,Y,N,N,
88,460.1625,N,N,Y,88 AF CORSE
89,0,Y,N,N,
90,0,Y,N,N,
91,467.3750,N,N,Y,91 TRACKHOUSE
92,461.0750,N,N,Y,93 MEYER SHANK
93,0,Y,N,N,
94,0,Y,N,N,
95,0,Y,N,N,
96,466.9375,N,N,Y,96 TURNER M.S.
97,0,Y,N,N,
98,0,Y,N,N,
99,469.9250,N,N,Y,99 AO RACING
100,0,Y,N,N,
101,0,Y,Y,N,
102,0,Y,N,N,
103,455.3625,N,N,Y,04 CROWDSTRIKE
104,0,Y,N,N,
105,0,Y,N,N,
106,0,Y,N,N,
107,458.8500,N,N,Y,007HEARTOFRACING
108,0,Y,N,N,
109,0,Y,N,N,
110,0,Y,N,N,
111,0,Y,N,N,
112,0,Y,N,N,
113,0,Y,N,N,
114,0,Y,N,N,
115,0,Y,N,N,
116,0,Y,N,N,
117,0,Y,N,N,
118,0,Y,N,N,
119,0,Y,N,N,
120,466.5000,N,N,Y,120 WRIGHT M.S.
121,465.6250,N,N,Y,021 TRIARSI
122,0,Y,Y,N,
123,465.6625,N,N,Y,023 TRIARSI
124,0,Y,N,N,
125,0,Y,N,N,
